n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,30,12,fast_downward_lmcut,True,0.015172,10,25,68,,,,,,
3,30,13,astar_manhattan,True,0.002488,12,44,80,2,4,2.818182,36,44,80
3,30,13,fast_downward_lmcut,True,0.013019,12,27,71,,,,,,
3,30,14,astar_manhattan,True,0.000894,8,11,23,2,4,2.909091,12,11,23
3,30,14,fast_downward_lmcut,True,0.011261,8,9,24,,,,,,
3,30,15,astar_manhattan,True,0.000108,2,2,5,2,3,2.500000,3,2,5
3,30,15,fast_downward_lmcut,True,0.007163,2,3,5,,,,,,
3,30,16,astar_manhattan,True,0.002933,14,43,77,2,4,2.744186,34,43,77
3,30,16,fast_downward_lmcut,True,0.017387,14,25,67,,,,,,
3,30,17,astar_manhattan,True,0.002702,10,29,51,2,4,2.689655,22,29,51
3,30,17,fast_downward_lmcut,True,0.011573,10,23,62,,,,,,
3,30,18,astar_manhattan,True,0.001465,10,25,45,2,4,2.720000,20,25,45
3,30,18,fast_downward_lmcut,True,0.011931,10,13,34,,,,,,
3,30,19,astar_manhattan,True,0.000270,8,10,21,2,4,2.900000,11,10,21
3,30,19,fast_downward_lmcut,True,0.011973,8,9,24,,,,,,
3,35,0,astar_manhattan,True,0.012372,17,263,420,2,4,2.661597,156,263,419
3,35,0,fast_downward_lmcut,True,0.037018,17,143,391,,,,,,
3,35,1,astar_manhattan,True,0.029062,21,688,1113,2,4,2.681686,421,688,1109
3,35,1,fast_downward_lmcut,True,0.065048,21,353,949,,,,,,
3,35,2,astar_manhattan,True,0.001980,13,51,92,2,4,2.784314,41,51,92
3,35,2,fast_downward_lmcut,True,0.014734,13,29,78,,,,,,
3,35,3,astar_manhattan,True,0.004277,15,72,124,2,4,2.791667,52,72,124
3,35,3,fast_downward_lmcut,True,0.014851,15,31,86,,,,,,
3,35,4,astar_manhattan,True,0.000479,11,15,28,2,4,2.733333,13,15,28
3,35,4,fast_downward_lmcut,True,0.011039,11,12,32,,,,,,
3,35,5,astar_manhattan,True,0.004625,13,108,177,2,4,2.675926,69,108,177
3,35,5,fast_downward_lmcut,True,0.020196,13,64,173,,,,,,
3,35,6,astar_manhattan,True,0.001229,11,18,32,2,4,2.777778,14,18,32
3,35,6,fast_downward_lmcut,True,0.010745,11,12,30,,,,,,
3,35,7,astar_manhattan,True,0.001762,11,33,59,2,4,2.939394,26,33,59
3,35,7,fast_downward_lmcut,True,0.013641,11,12,34,,,,,,
3,35,8,astar_manhattan,True,0.000840,9,12,22,2,4,2.666667,10,12,22
3,35,8,fast_downward_lmcut,True,0.009520,9,10,25,,,,,,
3,35,9,astar_manhattan,True,0.000584,11,25,44,2,4,2.720000,19,25,44
3,35,9,fast_downward_lmcut,True,0.012988,11,18,49,,,,,,
3,35,10,astar_manhattan,True,0.000609,5,6,13,2,4,2.833333,7,6,13
3,35,10,fast_downward_lmcut,True,0.009295,5,6,15,,,,,,
3,35,11,astar_manhattan,True,0.001379,13,23,42,2,4,2.739130,19,23,42
3,35,11,fast_downward_lmcut,True,0.011632,13,17,46,,,,,,
3,35,12,astar_manhattan,True,0.002650,11,41,74,2,4,2.756098,33,41,74
3,35,12,fast_downward_lmcut,True,0.015938,11,33,89,,,,,,
3,35,13,astar_manhattan,True,0.003646,13,75,132,2,4,2.760000,57,75,132
3,35,13,fast_downward_lmcut,True,0.013332,13,41,110,,,,,,
3,35,14,astar_manhattan,True,0.001972,11,25,48,2,4,2.920000,24,25,48
3,35,14,fast_downward_lmcut,True,0.010642,11,13,34,,,,,,
3,35,15,astar_manhattan,True,0.000350,5,6,13,2,4,2.833333,7,6,13
3,35,15,fast_downward_lmcut,True,0.020983,5,6,15,,,,,,
3,35,16,astar_manhattan,True,0.002640,13,35,64,2,4,2.771429,29,35,64
3,35,16,fast_downward_lmcut,True,0.011655,13,21,57,,,,,,
3,35,17,astar_manhattan,True,0.002481,11,39,66,2,4,2.666667,27,39,66
3,35,17,fast_downward_lmcut,True,0.011570,11,31,81,,,,,,
3,35,18,astar_manhattan,True,0.000610,7,11,22,2,4,2.818182,11,11,22
3,35,18,fast_downward_lmcut,True,0.011140,7,8,20,,,,,,
3,35,19,astar_manhattan,True,0.000434,7,9,20,2,4,3.000000,11,9,20
3,35,19,fast_downward_lmcut,True,0.008014,7,8,22,,,,,,
3,40,0,astar_manhattan,True,0.009825,16,205,331,2,4,2.673171,126,205,331
3,40,0,fast_downward_lmcut,True,0.021608,16,103,277,,,,,,
3,40,1,astar_manhattan,True,0.029104,22,904,1438,2,4,2.675885,530,904,1434
3,40,1,fast_downward_lmcut,True,0.081062,22,504,1364,,,,,,
3,40,2,astar_manhattan,True,0.009690,18,273,454,2,4,2.714286,181,273,454
3,40,2,fast_downward_lmcut,True,0.038835,18,151,410,,,,,,
3,40,3,astar_manhattan,True,0.008902,16,123,208,2,4,2.756098,85,123,208
3,40,3,fast_downward_lmcut,True,0.023988,16,76,210,,,,,,
3,40,4,astar_manhattan,True,0.000394,12,15,28,2,4,2.733333,13,15,28
3,40,4,fast_downward_lmcut,True,0.010017,12,13,34,,,,,,
3,40,5,astar_manhattan,True,0.004688,12,78,132,2,4,2.730769,54,78,132
